Generations,50
Population Size,20
Mutation Rate,0.2
Crossover Rate,0.9
Fitness,Best Fitness: 680.00
Seed,24

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 4,Elland Road,Slot 2:00-4:00
Manchester City vs Liverpool,Day 12,Emirates Stadium,Slot 5:00-7:00
Manchester City vs Chelsea,Day 34,Etihad Stadium,Slot 5:00-7:00
Manchester City vs Manchester United,Day 19,Wembley,Slot 2:00-4:00
Manchester City vs New Castle,Day 22,Stamford Bridge,Slot 8:00-10:00
Manchester City vs Tottenham,Day 23,St. James' Park,Slot 5:00-7:00
Manchester City vs Brentford,Day 38,Old Trafford,Slot 2:00-4:00
Manchester City vs Brighton,Day 15,Stamford Bridge,Slot 8:00-10:00
Manchester City vs Everton,Day 40,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Liverpool,Day 37,Villa Park,Slot 2:00-4:00
Arsenal vs Chelsea,Day 3,Goodison Park,Slot 5:00-7:00
Arsenal vs Manchester United,Day 30,Emirates Stadium,Slot 5:00-7:00
Arsenal vs New Castle,Day 20,Goodison Park,Slot 2:00-4:00
Arsenal vs Tottenham,Day 33,Goodison Park,Slot 8:00-10:00
Arsenal vs Brentford,Day 10,Villa Park,Slot 2:00-4:00
Arsenal vs Brighton,Day 32,Goodison Park,Slot 8:00-10:00
Arsenal vs Everton,Day 11,Anfield,Slot 5:00-7:00
Liverpool vs Chelsea,Day 5,Anfield,Slot 5:00-7:00
Liverpool vs Manchester United,Day 33,Elland Road,Slot 5:00-7:00
Liverpool vs New Castle,Day 30,Goodison Park,Slot 2:00-4:00
Liverpool vs Tottenham,Day 26,Emirates Stadium,Slot 5:00-7:00
Liverpool vs Brentford,Day 29,Emirates Stadium,Slot 8:00-10:00
Liverpool vs Brighton,Day 3,Emirates Stadium,Slot 2:00-4:00
Liverpool vs Everton,Day 18,Villa Park,Slot 5:00-7:00
Chelsea vs Manchester United,Day 29,Emirates Stadium,Slot 2:00-4:00
Chelsea vs New Castle,Day 25,Old Trafford,Slot 2:00-4:00
Chelsea vs Tottenham,Day 11,Wembley,Slot 8:00-10:00
Chelsea vs Brentford,Day 8,Etihad Stadium,Slot 5:00-7:00
Chelsea vs Brighton,Day 14,Stamford Bridge,Slot 2:00-4:00
Chelsea vs Everton,Day 33,Wembley,Slot 5:00-7:00
Manchester United vs New Castle,Day 10,Old Trafford,Slot 2:00-4:00
Manchester United vs Tottenham,Day 7,Old Trafford,Slot 8:00-10:00
Manchester United vs Brentford,Day 1,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Brighton,Day 4,Villa Park,Slot 8:00-10:00
Manchester United vs Everton,Day 27,Anfield,Slot 5:00-7:00
New Castle vs Tottenham,Day 3,Villa Park,Slot 2:00-4:00
New Castle vs Brentford,Day 21,Old Trafford,Slot 8:00-10:00
New Castle vs Brighton,Day 7,Etihad Stadium,Slot 5:00-7:00
New Castle vs Everton,Day 26,Villa Park,Slot 5:00-7:00
Tottenham vs Brentford,Day 40,Etihad Stadium,Slot 5:00-7:00
Tottenham vs Brighton,Day 19,Villa Park,Slot 2:00-4:00
Tottenham vs Everton,Day 22,Old Trafford,Slot 5:00-7:00
Brentford vs Brighton,Day 27,Villa Park,Slot 8:00-10:00
Brentford vs Everton,Day 25,Goodison Park,Slot 2:00-4:00
Brighton vs Everton,Day 13,Emirates Stadium,Slot 8:00-10:00
