Generations,100
Population Size,10
Mutation Rate,0.1
Crossover Rate,0.7
Fitness,Best Fitness: 700.00
Seed,1

Match,Day,Venue,Time Slot
Manchester City vs Arsenal,Day 26,St. James' Park,Slot 8:00-10:00
Manchester City vs Liverpool,Day 38,Emirates Stadium,Slot 5:00-7:00
Manchester City vs Chelsea,Day 13,Wembley,Slot 5:00-7:00
Manchester City vs Manchester United,Day 20,Goodison Park,Slot 8:00-10:00
Manchester City vs New Castle,Day 2,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Tottenham,Day 8,St. James' Park,Slot 8:00-10:00
Manchester City vs Brentford,Day 4,Anfield,Slot 8:00-10:00
Manchester City vs Brighton,Day 33,Old Trafford,Slot 5:00-7:00
Manchester City vs Everton,Day 19,Old Trafford,Slot 8:00-10:00
Arsenal vs Liverpool,Day 35,St. James' Park,Slot 5:00-7:00
Arsenal vs Chelsea,Day 17,Etihad Stadium,Slot 2:00-4:00
Arsenal vs Manchester United,Day 39,Elland Road,Slot 5:00-7:00
Arsenal vs New Castle,Day 15,St. James' Park,Slot 2:00-4:00
Arsenal vs Tottenham,Day 24,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Brentford,Day 2,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Brighton,Day 23,Anfield,Slot 8:00-10:00
Arsenal vs Everton,Day 9,Old Trafford,Slot 5:00-7:00
Liverpool vs Chelsea,Day 27,Elland Road,Slot 2:00-4:00
Liverpool vs Manchester United,Day 19,Elland Road,Slot 5:00-7:00
Liverpool vs New Castle,Day 33,Goodison Park,Slot 2:00-4:00
Liverpool vs Tottenham,Day 25,Villa Park,Slot 2:00-4:00
Liverpool vs Brentford,Day 29,Stamford Bridge,Slot 8:00-10:00
Liverpool vs Brighton,Day 37,Goodison Park,Slot 5:00-7:00
Liverpool vs Everton,Day 40,Stamford Bridge,Slot 2:00-4:00
Chelsea vs Manchester United,Day 14,Emirates Stadium,Slot 2:00-4:00
Chelsea vs New Castle,Day 36,Elland Road,Slot 5:00-7:00
Chelsea vs Tottenham,Day 40,Emirates Stadium,Slot 8:00-10:00
Chelsea vs Brentford,Day 35,Old Trafford,Slot 5:00-7:00
Chelsea vs Brighton,Day 5,Goodison Park,Slot 8:00-10:00
Chelsea vs Everton,Day 18,Old Trafford,Slot 8:00-10:00
Manchester United vs New Castle,Day 25,Etihad Stadium,Slot 2:00-4:00
Manchester United vs Tottenham,Day 35,Villa Park,Slot 5:00-7:00
Manchester United vs Brentford,Day 8,St. James' Park,Slot 2:00-4:00
Manchester United vs Brighton,Day 10,Etihad Stadium,Slot 8:00-10:00
Manchester United vs Everton,Day 17,Emirates Stadium,Slot 5:00-7:00
New Castle vs Tottenham,Day 14,Villa Park,Slot 8:00-10:00
New Castle vs Brentford,Day 38,Emirates Stadium,Slot 2:00-4:00
New Castle vs Brighton,Day 28,Etihad Stadium,Slot 2:00-4:00
New Castle vs Everton,Day 24,Etihad Stadium,Slot 8:00-10:00
Tottenham vs Brentford,Day 23,Goodison Park,Slot 2:00-4:00
Tottenham vs Brighton,Day 17,Wembley,Slot 5:00-7:00
Tottenham vs Everton,Day 2,Etihad Stadium,Slot 5:00-7:00
Brentford vs Brighton,Day 12,Elland Road,Slot 8:00-10:00
Brentford vs Everton,Day 10,Villa Park,Slot 2:00-4:00
Brighton vs Everton,Day 13,Old Trafford,Slot 2:00-4:00
