Generations,2000
Population Size,70
Mutation Rate,0.4
Crossover Rate,0.9
Fitness,Best Fitness: 2346.99
Seed,42

Match,Day,Venue,Time Slot
Liverpool vs Everton,Day 8,Stamford Bridge,Slot 8:00-10:00
Manchester United vs Brentford,Day 9,Goodison Park,Slot 8:00-10:00
New Castle vs Brighton,Day 34,Stamford Bridge,Slot 5:00-7:00
New Castle vs Everton,Day 32,Emirates Stadium,Slot 5:00-7:00
Brighton vs Everton,Day 40,Old Trafford,Slot 5:00-7:00
Chelsea vs New Castle,Day 36,Anfield,Slot 2:00-4:00
Manchester City vs Brentford,Day 36,Goodison Park,Slot 2:00-4:00
Manchester City vs Everton,Day 38,St. James' Park,Slot 2:00-4:00
Chelsea vs Tottenham,Day 8,Villa Park,Slot 5:00-7:00
Manchester City vs Liverpool,Day 32,Anfield,Slot 2:00-4:00
Arsenal vs Brighton,Day 30,Elland Road,Slot 2:00-4:00
Liverpool vs Chelsea,Day 34,Villa Park,Slot 2:00-4:00
Chelsea vs Brighton,Day 32,Villa Park,Slot 2:00-4:00
Brentford vs Brighton,Day 1,St. James' Park,Slot 2:00-4:00
Manchester United vs Tottenham,Day 32,Emirates Stadium,Slot 8:00-10:00
Arsenal vs Brentford,Day 6,Wembley,Slot 5:00-7:00
Manchester United vs Everton,Day 37,Wembley,Slot 5:00-7:00
Arsenal vs New Castle,Day 9,Old Trafford,Slot 8:00-10:00
New Castle vs Tottenham,Day 40,Villa Park,Slot 5:00-7:00
Manchester City vs Chelsea,Day 40,Stamford Bridge,Slot 8:00-10:00
Arsenal vs Everton,Day 35,Wembley,Slot 8:00-10:00
Liverpool vs New Castle,Day 5,Anfield,Slot 8:00-10:00
Brentford vs Everton,Day 4,St. James' Park,Slot 2:00-4:00
Manchester City vs Tottenham,Day 6,Wembley,Slot 8:00-10:00
New Castle vs Brentford,Day 3,Old Trafford,Slot 8:00-10:00
Arsenal vs Chelsea,Day 1,Stamford Bridge,Slot 5:00-7:00
Arsenal vs Manchester United,Day 40,Old Trafford,Slot 2:00-4:00
Manchester United vs New Castle,Day 7,Stamford Bridge,Slot 2:00-4:00
Manchester United vs Brighton,Day 5,Wembley,Slot 5:00-7:00
Manchester City vs New Castle,Day 1,St. James' Park,Slot 8:00-10:00
Liverpool vs Brighton,Day 3,Emirates Stadium,Slot 2:00-4:00
Manchester City vs Arsenal,Day 4,Villa Park,Slot 2:00-4:00
Liverpool vs Tottenham,Day 36,Goodison Park,Slot 5:00-7:00
Liverpool vs Manchester United,Day 1,Villa Park,Slot 8:00-10:00
Tottenham vs Everton,Day 1,Wembley,Slot 2:00-4:00
Tottenham vs Brentford,Day 34,Emirates Stadium,Slot 5:00-7:00
Arsenal vs Liverpool,Day 38,Old Trafford,Slot 8:00-10:00
Manchester City vs Brighton,Day 8,Wembley,Slot 2:00-4:00
Arsenal vs Tottenham,Day 28,Goodison Park,Slot 5:00-7:00
Chelsea vs Brentford,Day 38,Etihad Stadium,Slot 2:00-4:00
Tottenham vs Brighton,Day 38,Elland Road,Slot 5:00-7:00
Chelsea vs Everton,Day 6,Stamford Bridge,Slot 5:00-7:00
Liverpool vs Brentford,Day 40,Etihad Stadium,Slot 5:00-7:00
Manchester City vs Manchester United,Day 34,Etihad Stadium,Slot 8:00-10:00
Chelsea vs Manchester United,Day 3,Wembley,Slot 8:00-10:00
